requirement_id,user_story_id,title,description,acceptance_criteria,priority,status,created_at
REQ_001,US_001,Notification system - Requirement 1,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 1"", ""Criterion 2 for requirement 1"", ""Criterion 3 for requirement 1""]",low,pending,2025-07-14T13:44:35.051406
REQ_002,US_002,Data export - Requirement 2,"As a user, I want data export so that I can achieve my goals.","[""Criterion 1 for requirement 2"", ""Criterion 2 for requirement 2"", ""Criterion 3 for requirement 2""]",critical,approved,2025-06-07T13:44:35.051423
REQ_003,US_003,User authentication - Requirement 3,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 3"", ""Criterion 2 for requirement 3"", ""Criterion 3 for requirement 3""]",critical,approved,2025-12-08T13:44:35.051430
REQ_004,US_004,Search functionality - Requirement 4,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 4"", ""Criterion 2 for requirement 4"", ""Criterion 3 for requirement 4""]",critical,pending,2025-05-03T13:44:35.051436
REQ_005,US_005,User authentication - Requirement 5,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 5"", ""Criterion 2 for requirement 5"", ""Criterion 3 for requirement 5""]",low,in_progress,2026-03-03T13:44:35.051441
REQ_006,US_006,User profile management - Requirement 6,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 6"", ""Criterion 2 for requirement 6"", ""Criterion 3 for requirement 6""]",critical,approved,2025-11-30T13:44:35.051446
REQ_007,US_007,Search functionality - Requirement 7,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 7"", ""Criterion 2 for requirement 7"", ""Criterion 3 for requirement 7""]",low,pending,2025-07-05T13:44:35.051450
REQ_008,US_008,Dashboard analytics - Requirement 8,"As a user, I want dashboard analytics so that I can achieve my goals.","[""Criterion 1 for requirement 8"", ""Criterion 2 for requirement 8"", ""Criterion 3 for requirement 8""]",high,pending,2026-02-05T13:44:35.051454
REQ_009,US_009,User authentication - Requirement 9,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 9"", ""Criterion 2 for requirement 9"", ""Criterion 3 for requirement 9""]",high,approved,2025-07-27T13:44:35.051459
REQ_010,US_010,File upload - Requirement 10,"As a user, I want file upload so that I can achieve my goals.","[""Criterion 1 for requirement 10"", ""Criterion 2 for requirement 10"", ""Criterion 3 for requirement 10""]",medium,approved,2025-06-22T13:44:35.051464
REQ_011,US_011,Notification system - Requirement 11,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 11"", ""Criterion 2 for requirement 11"", ""Criterion 3 for requirement 11""]",medium,pending,2025-11-05T13:44:35.051468
REQ_012,US_012,API integration - Requirement 12,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 12"", ""Criterion 2 for requirement 12"", ""Criterion 3 for requirement 12""]",critical,pending,2026-01-08T13:44:35.051473
REQ_013,US_013,API integration - Requirement 13,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 13"", ""Criterion 2 for requirement 13"", ""Criterion 3 for requirement 13""]",high,approved,2026-02-21T13:44:35.051478
REQ_014,US_014,Data export - Requirement 14,"As a user, I want data export so that I can achieve my goals.","[""Criterion 1 for requirement 14"", ""Criterion 2 for requirement 14"", ""Criterion 3 for requirement 14""]",critical,pending,2026-03-11T13:44:35.051482
REQ_015,US_015,API integration - Requirement 15,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 15"", ""Criterion 2 for requirement 15"", ""Criterion 3 for requirement 15""]",low,in_progress,2025-06-17T13:44:35.051487
REQ_016,US_016,API integration - Requirement 16,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 16"", ""Criterion 2 for requirement 16"", ""Criterion 3 for requirement 16""]",low,in_progress,2025-09-07T13:44:35.051491
REQ_017,US_017,Search functionality - Requirement 17,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 17"", ""Criterion 2 for requirement 17"", ""Criterion 3 for requirement 17""]",low,in_progress,2026-02-17T13:44:35.051495
REQ_018,US_018,API integration - Requirement 18,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 18"", ""Criterion 2 for requirement 18"", ""Criterion 3 for requirement 18""]",high,approved,2025-11-09T13:44:35.051500
REQ_019,US_019,Notification system - Requirement 19,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 19"", ""Criterion 2 for requirement 19"", ""Criterion 3 for requirement 19""]",critical,pending,2025-09-18T13:44:35.051504
REQ_020,US_020,Data export - Requirement 20,"As a user, I want data export so that I can achieve my goals.","[""Criterion 1 for requirement 20"", ""Criterion 2 for requirement 20"", ""Criterion 3 for requirement 20""]",medium,in_progress,2025-08-14T13:44:35.051509
REQ_021,US_021,API integration - Requirement 21,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 21"", ""Criterion 2 for requirement 21"", ""Criterion 3 for requirement 21""]",medium,approved,2025-05-06T13:44:35.051513
REQ_022,US_022,Notification system - Requirement 22,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 22"", ""Criterion 2 for requirement 22"", ""Criterion 3 for requirement 22""]",low,approved,2025-04-11T13:44:35.051517
REQ_023,US_023,Notification system - Requirement 23,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 23"", ""Criterion 2 for requirement 23"", ""Criterion 3 for requirement 23""]",high,approved,2026-03-11T13:44:35.051522
REQ_024,US_024,Payment processing - Requirement 24,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 24"", ""Criterion 2 for requirement 24"", ""Criterion 3 for requirement 24""]",critical,in_progress,2025-10-01T13:44:35.051526
REQ_025,US_025,Report generation - Requirement 25,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 25"", ""Criterion 2 for requirement 25"", ""Criterion 3 for requirement 25""]",high,approved,2026-03-22T13:44:35.051530
REQ_026,US_026,Payment processing - Requirement 26,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 26"", ""Criterion 2 for requirement 26"", ""Criterion 3 for requirement 26""]",medium,in_progress,2026-02-23T13:44:35.051534
REQ_027,US_027,Report generation - Requirement 27,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 27"", ""Criterion 2 for requirement 27"", ""Criterion 3 for requirement 27""]",critical,pending,2025-06-07T13:44:35.051539
REQ_028,US_028,User profile management - Requirement 28,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 28"", ""Criterion 2 for requirement 28"", ""Criterion 3 for requirement 28""]",critical,approved,2026-03-23T13:44:35.051543
REQ_029,US_029,File upload - Requirement 29,"As a user, I want file upload so that I can achieve my goals.","[""Criterion 1 for requirement 29"", ""Criterion 2 for requirement 29"", ""Criterion 3 for requirement 29""]",critical,pending,2025-12-20T13:44:35.051548
REQ_030,US_030,Report generation - Requirement 30,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 30"", ""Criterion 2 for requirement 30"", ""Criterion 3 for requirement 30""]",critical,in_progress,2025-09-23T13:44:35.051552
REQ_031,US_031,User profile management - Requirement 31,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 31"", ""Criterion 2 for requirement 31"", ""Criterion 3 for requirement 31""]",high,pending,2025-04-04T13:44:35.051556
REQ_032,US_032,Payment processing - Requirement 32,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 32"", ""Criterion 2 for requirement 32"", ""Criterion 3 for requirement 32""]",critical,pending,2025-08-30T13:44:35.051560
REQ_033,US_033,Search functionality - Requirement 33,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 33"", ""Criterion 2 for requirement 33"", ""Criterion 3 for requirement 33""]",medium,pending,2025-11-02T13:44:35.051565
REQ_034,US_034,File upload - Requirement 34,"As a user, I want file upload so that I can achieve my goals.","[""Criterion 1 for requirement 34"", ""Criterion 2 for requirement 34"", ""Criterion 3 for requirement 34""]",medium,pending,2025-07-29T13:44:35.051569
REQ_035,US_035,API integration - Requirement 35,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 35"", ""Criterion 2 for requirement 35"", ""Criterion 3 for requirement 35""]",medium,pending,2025-06-30T13:44:35.051573
REQ_036,US_036,Report generation - Requirement 36,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 36"", ""Criterion 2 for requirement 36"", ""Criterion 3 for requirement 36""]",medium,in_progress,2025-10-14T13:44:35.051577
REQ_037,US_037,User profile management - Requirement 37,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 37"", ""Criterion 2 for requirement 37"", ""Criterion 3 for requirement 37""]",medium,pending,2026-03-14T13:44:35.051581
REQ_038,US_038,API integration - Requirement 38,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 38"", ""Criterion 2 for requirement 38"", ""Criterion 3 for requirement 38""]",medium,approved,2025-06-30T13:44:35.051586
REQ_039,US_039,Search functionality - Requirement 39,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 39"", ""Criterion 2 for requirement 39"", ""Criterion 3 for requirement 39""]",high,in_progress,2025-10-20T13:44:35.051590
REQ_040,US_040,Payment processing - Requirement 40,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 40"", ""Criterion 2 for requirement 40"", ""Criterion 3 for requirement 40""]",medium,approved,2025-07-14T13:44:35.051594
REQ_041,US_041,Data export - Requirement 41,"As a user, I want data export so that I can achieve my goals.","[""Criterion 1 for requirement 41"", ""Criterion 2 for requirement 41"", ""Criterion 3 for requirement 41""]",critical,in_progress,2025-07-24T13:44:35.051598
REQ_042,US_042,Dashboard analytics - Requirement 42,"As a user, I want dashboard analytics so that I can achieve my goals.","[""Criterion 1 for requirement 42"", ""Criterion 2 for requirement 42"", ""Criterion 3 for requirement 42""]",low,approved,2025-07-07T13:44:35.051602
REQ_043,US_043,Report generation - Requirement 43,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 43"", ""Criterion 2 for requirement 43"", ""Criterion 3 for requirement 43""]",high,approved,2025-11-29T13:44:35.051607
REQ_044,US_044,User profile management - Requirement 44,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 44"", ""Criterion 2 for requirement 44"", ""Criterion 3 for requirement 44""]",low,approved,2025-05-01T13:44:35.051611
REQ_045,US_045,Search functionality - Requirement 45,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 45"", ""Criterion 2 for requirement 45"", ""Criterion 3 for requirement 45""]",critical,in_progress,2025-10-21T13:44:35.051616
REQ_046,US_046,Data export - Requirement 46,"As a user, I want data export so that I can achieve my goals.","[""Criterion 1 for requirement 46"", ""Criterion 2 for requirement 46"", ""Criterion 3 for requirement 46""]",low,in_progress,2025-06-12T13:44:35.051620
REQ_047,US_047,Dashboard analytics - Requirement 47,"As a user, I want dashboard analytics so that I can achieve my goals.","[""Criterion 1 for requirement 47"", ""Criterion 2 for requirement 47"", ""Criterion 3 for requirement 47""]",low,in_progress,2025-10-29T13:44:35.051624
REQ_048,US_048,API integration - Requirement 48,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 48"", ""Criterion 2 for requirement 48"", ""Criterion 3 for requirement 48""]",medium,approved,2025-08-24T13:44:35.051628
REQ_049,US_049,Report generation - Requirement 49,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 49"", ""Criterion 2 for requirement 49"", ""Criterion 3 for requirement 49""]",high,pending,2025-05-01T13:44:35.051632
REQ_050,US_050,Report generation - Requirement 50,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 50"", ""Criterion 2 for requirement 50"", ""Criterion 3 for requirement 50""]",medium,approved,2025-11-20T13:44:35.051636
REQ_051,US_051,User authentication - Requirement 51,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 51"", ""Criterion 2 for requirement 51"", ""Criterion 3 for requirement 51""]",low,in_progress,2026-01-25T13:44:35.051640
